STATNAME,DISTNAME,primary,upper_primary
MEGHALAYA,SOUTH WEST GARO HILLS,,
MEGHALAYA,SOUTH WEST KHASI HILLS,,
ANDHRA PRADESH,SRIKAKULAM,75.18,62.21
JAMMU & KASHMIR,SRINAGAR,44.74,37.23
ODISHA,Subarnapur,78.8,74.93
CHHATTISGARH,SUKMA,,
UTTAR PRADESH,Sultanpur,61.65,40.82
ODISHA,Sundargarh,92.99,75.03
BIHAR,SUPAUL,94.69,54.97
CHHATTISGARH,SURAJPUR,,
GUJARAT,SURAT,82.65,72.34
GUJARAT,SURENDRANAGAR,70.85,67.63
CHHATTISGARH,SURGUJA,29.87,25.33
MANIPUR,TAMENGLONG,,59.51
GUJARAT,TAPI,82.6,78.32
PUNJAB,Tarn Taran,88.55,69.91
ARUNACHAL PRADESH,TAWANG,83.91,58.41
UTTARAKHAND,TEHRI GARHWAL,81.54,70.87
MAHARASHTRA,THANE,71.56,60.71
TAMIL NADU,THANJAVUR,98.76,87.06
GUJARAT,THE DANGS,94.49,81.77
TAMIL NADU,THE NILGIRIS,93.75,84.91
TAMIL NADU,THENI,,91.43
TAMIL NADU,THIRUVALLUR,92.85,82.93
KERALA,THIRUVANANTHAPURAM,89.48,87.01
TAMIL NADU,THIRUVARUR,92.4,89.87
TAMIL NADU,THOOTHUKKUDI,,92.54
MANIPUR,THOUBAL,85.21,64.64
KERALA,Thrissur,91.06,86.35
MADHYA PRADESH,TIKAMGARH,94.58,86.08
ASSAM,TINSUKIA,94.22,58.77
ARUNACHAL PRADESH,TIRAP,37.1,26.22
TAMIL NADU,TIRUCHIRAPPALLI,96.11,84
TAMIL NADU,TIRUNELVELI,,89.42
TAMIL NADU,TIRUVANNAMALAI,96.23,87
RAJASTHAN,TONK,88.54,64.36
NAGALAND,TUENSANG,63.26,37
KARNATAKA,TUMKUR,,
KARNATAKA,TUMKUR MADHUGIRI,,
RAJASTHAN,UDAIPUR,77.9,50.36
ASSAM,UDALGURI,,58.82
UTTARAKHAND,UDHAM SINGH NAGAR,,73.7
JAMMU & KASHMIR,UDHAMPUR,86.5,72.28
KARNATAKA,UDUPI,,
MADHYA PRADESH,UJJAIN,82.08,65.73
MANIPUR,UKHRUL,,63.73
MADHYA PRADESH,UMARIA,87.09,81.92
HIMACHAL PRADESH,UNA,92.39,80.87
TRIPURA,UNAKOTI,,
UTTAR PRADESH,UNNAO,92.53,49.2
ARUNACHAL PRADESH,UPPER SIANG,93.79,63.43
ARUNACHAL PRADESH,UPPER SUBANSIRI,,88.95
CHHATTISGARH,Uttar Bastar Kanker,87.85,75.41
WEST BENGAL,UTTAR DINAJPUR,93.33,48.1
KARNATAKA,UTTARA KANNADA,,
KARNATAKA,UTTARA KANNADA SIRSI,,
UTTARAKHAND,UTTARKASHI,92.89,66.74
GUJARAT,VADODARA,60.35,57.92
BIHAR,VAISHALI,90.24,73.73
GUJARAT,VALSAD,85.36,73.06
UTTAR PRADESH,VARANASI,78.51,59.27
TAMIL NADU,VELLORE,,
MADHYA PRADESH,VIDISHA,79.82,66.12
TAMIL NADU,VILUPPURAM,78.17,74.06
TAMIL NADU,VIRUDHUNAGAR,,83.2
ANDHRA PRADESH,VISAKHAPATNAM,80.34,64.93
ANDHRA PRADESH,VIZIANAGARAM,72.43,59.31
MAHARASHTRA,WARDHA,89.74,84.37
MAHARASHTRA,WASHIM,85.31,80.35
KERALA,WAYANAD,89.66,82.36
DELHI,WEST DELHI,,
MEGHALAYA,WEST GARO HILLS,62.44,41.02
ANDHRA PRADESH,WEST GODAVARI,79.61,65.58
ARUNACHAL PRADESH,WEST KAMENG,92.45,60.7
MEGHALAYA,WEST KHASI HILLS,60.13,26.12
ARUNACHAL PRADESH,WEST SIANG,91.24,65.02
SIKKIM,WEST SIKKIM,74.1,47.55
TRIPURA,WEST TRIPURA,51.06,50.15
NAGALAND,WOKHA,41.72,29.87
ANDHRA PRADESH,Y.s.r.,77.6,56.94
KARNATAKA,Yadgir,99.76,69.53
HARYANA,YAMUNANAGAR,79.91,71.12
PUDUCHERRY,YANAM,89.93,69.42
MAHARASHTRA,YAVATMAL,87.44,78.05
NAGALAND,ZUNHEBOTO,76.11,44.73
